Group,mouse_ID,slice,Metric,Label,Value
sgRosa26,128,3,Mean_Th_pos,Th,53.421478863232686
sgRosa26,128,3,Mean_Th_pos,Trpc6,24.27586117216117
sgRosa26,128,3,Mean_Th_neg,Th,
sgRosa26,128,3,Mean_Th_neg,Trpc6,18.244577777777778
sgRosa26,131,1,Count,Th,762.0
sgRosa26,131,1,Count,Trpc6,160.0
sgRosa26,131,1,Count,Th:Trpc6,1241.0
sgRosa26,131,1,Mean_all,Th,60.990381677483775
sgRosa26,131,1,Mean_all,Trpc6,26.14395867237688
sgRosa26,131,1,Mean_Th_pos,Th,60.990381677483775
sgRosa26,131,1,Mean_Th_pos,Trpc6,27.52621466559226
sgRosa26,131,1,Mean_Th_neg,Th,
sgRosa26,131,1,Mean_Th_neg,Trpc6,15.422835625
sgRosa26,131,2,Count,Th,814.0
sgRosa26,131,2,Count,Trpc6,173.0
sgRosa26,131,2,Count,Th:Trpc6,1283.0
sgRosa26,131,2,Mean_all,Th,61.48345860753458
sgRosa26,131,2,Mean_all,Trpc6,26.23427369505494
sgRosa26,131,2,Mean_Th_pos,Th,61.48345860753458
sgRosa26,131,2,Mean_Th_pos,Trpc6,27.63512938425565
sgRosa26,131,2,Mean_Th_neg,Th,
sgRosa26,131,2,Mean_Th_neg,Trpc6,15.845268786127168
sgRosa26,131,3,Count,Th,772.0
sgRosa26,131,3,Count,Trpc6,74.0
sgRosa26,131,3,Count,Th:Trpc6,675.0
sgRosa26,131,3,Mean_all,Th,51.05756496199032
sgRosa26,131,3,Mean_all,Trpc6,22.33731922563418
sgRosa26,131,3,Mean_Th_pos,Th,51.05756496199032
sgRosa26,131,3,Mean_Th_pos,Trpc6,23.47111037037037
sgRosa26,131,3,Mean_Th_neg,Th,
sgRosa26,131,3,Mean_Th_neg,Trpc6,11.995305405405404
